,Tweet Text,Tweet Coordinates,Place Info,Date
0,"RT @Schools_Digital: ✨🆕 @Schools_Digital @EducationScot initiative to boost DIGITAL WELLBEING in schools launches in Scotland!✨ 
Award is d…",,,16/11/2021 22:34
1,November 29 | MCLE webinar: Join us to learn all about the Age Appropriate Design Code that the UK recently began t… https://t.co/CxaSf7Yl6X,,,16/11/2021 21:57
2,"RT @CloreLeadership: Social media isn't always a safe space, particularly for many leaders of colour.

When you're trying to instigate cult…",,,16/11/2021 21:49
3,"Do not forget to check out this feature!

#digital #wellbeing https://t.co/xjl9qj4MBh",,,16/11/2021 21:44
4,RT @AnnaGConnell: For people whose parents have been using Xtra for their whole digital life and have one personal email address between th…,,,16/11/2021 21:20
5,It was fantastic being part of the @SEL4MA #SEL virtual conference today thank you for having us ❤️ Fantastic… https://t.co/alH793g8VM,,,16/11/2021 21:03
6,"Join us w/ Sydney-based psychologist and founder of @DigiNutrition, @JocelynBrewer on #CSUsGotTalent. 
Digital Nutr… https://t.co/UQFxsZbyQD",,,16/11/2021 20:51
7,For people whose parents have been using Xtra for their whole digital life and have one personal email address betw… https://t.co/lzIDZSsJXJ,,,16/11/2021 20:47
8,RT @PacificUoa: Congratulations to Dr Edmond Fehoko who has been awarded an HRC Pacific Health Postdoctoral Fellowship to document Pacific…,,,16/11/2021 20:38
9,Great to see this coming together - hopefully provides a useful framework to help schools navigate Digital Wellbein… https://t.co/GgX0Tv39EV,,,16/11/2021 20:02
10,"hello @Android 12 has broken how Digital Wellbeing enforces links for me
now I click a twitter or youtube link &amp; it… https://t.co/MfXjo2SttC",,,16/11/2021 19:45
11,"RT @drgavinmurphy: For example, in Ireland, with reforms including SSE, curricular reforms, wellbeing, digital strategy, inclusion, teacher…",,,16/11/2021 19:31
12,RT @DoMoreRed: Part of #DeathPositiveLibraries come along to @RedbridgeLibs for a digital experience. Explore choices for what to do with y…,,,16/11/2021 19:11
13,"RT @FGraillot: Great report on major trends at work in Life Insurance,
including how #InsurTech could help incumbents around digital distri…",,,16/11/2021 18:22
14,"RT @INTERPOL_GCI: Aside from discussions on technical developments, challenges &amp; multi-sectoral collaboration, the 6th INTERPOL Digital For…",,,16/11/2021 18:10
15,"Did you know there's a digital platform that can easily help you improve reading AND wellbeing in your school? 

Di… https://t.co/uEDSjjd3Kl",,,16/11/2021 18:09
16,Extinguish ailments to do with wellbeing plus stored fat when you finally watch this type of digital video https://t.co/JmeFbAsUPR,,,16/11/2021 17:45
17,"RT @CloreLeadership: Social media isn't always a safe space, particularly for many leaders of colour.

When you're trying to instigate cult…",,,16/11/2021 17:39
18,"RT @CloreLeadership: Social media isn't always a safe space, particularly for many leaders of colour.

When you're trying to instigate cult…",,,16/11/2021 17:20
19,RT @StandardLifeBiz: Join us on Thursday where we'll be presenting 'How employers can harness diversity to improve employee financial wellb…,,,16/11/2021 17:02
20,RT @StandardLifeBiz: Join us on Thursday where we'll be presenting 'How employers can harness diversity to improve employee financial wellb…,,,16/11/2021 17:02
21,"RT @CloreLeadership: Social media isn't always a safe space, particularly for many leaders of colour.

When you're trying to instigate cult…",,,16/11/2021 16:48
22,"@AntPHenderson Factor in also, am alone in the house with the kid, Mr at work til 4am, assuming someone is going to… https://t.co/9rWsbQH9pL",,,16/11/2021 16:47
23,"Social media isn't always a safe space, particularly for many leaders of colour.

When you're trying to instigate c… https://t.co/XVv3LY8XEr",,,16/11/2021 16:41
24,"RT @gcchiarrai: Tábhachtach:Tonight's Parents webinar Navigating the Digital World Safely. Presented by Jeremy Wrenn, Technology Enhanced L…",,,16/11/2021 16:29
25,RT @naomiorgdesign: A new digital report  Navigating Complexity: linking resilience and well-being'. Offers insights 4 practitioners &amp; poli…,,,16/11/2021 16:19
26,"Tábhachtach:Tonight's Parents webinar Navigating the Digital World Safely. Presented by Jeremy Wrenn, Technology En… https://t.co/kc7bFmTeVE",,,16/11/2021 16:05
27,"New APK: Samsung Digital Wellbeing &amp; Parental Controls 3.0.00.33 by Samsung Electronics Co., Ltd. https://t.co/Fh1AMBAeaq",,,16/11/2021 15:18
28,Join us on Thursday where we'll be presenting 'How employers can harness diversity to improve employee financial we… https://t.co/iE6Um6uDoA,,,16/11/2021 15:02
29,Digital wellbeing is my friend now. My phone just turn pitch black lol,,,16/11/2021 15:00
30,@NAMICommunicate Using the Digital Wellbeing tools on my phone,,,16/11/2021 14:58
